,date,as_asm,as_rpm,as_flight,as_eff,as_pass,g4_asm,g4_rpm,g4_flight,g4_eff,g4_pass,aa_asm,aa_rpm,aa_flight,aa_eff,aa_pass,dl_asm,dl_rpm,dl_flight,dl_eff,dl_pass,mq_asm,mq_rpm,mq_flight,mq_eff,mq_pass,ev_asm,ev_rpm,ev_flight,ev_eff,ev_pass,f9_asm,f9_rpm,f9_flight,f9_eff,f9_pass,ha_asm,ha_rpm,ha_flight,ha_eff,ha_pass,b6_asm,b6_rpm,b6_flight,b6_eff,b6_pass,oo_asm,oo_rpm,oo_flight,oo_eff,oo_pass,wn_asm,wn_rpm,wn_flight,wn_eff,wn_pass,nk_asm,nk_rpm,nk_flight,nk_eff,nk_pass,ua_asm,ua_rpm,ua_flight,ua_eff,ua_pass
0,2003-01,1317669,807069,12421,61.25,70.74816842444248,8092,4711,134,58.22,80.81343283582089,9801309,6428843,65960,65.59,85.7970285021225,8152502,5401199,59177,66.25,105.72641397840377,497817,274120,35522,55.06,23.080569787737176,434176,260708,23638,60.05,28.34947965140875,527654,278466,4712,52.77,65.44821731748726,555366,381771,4192,68.74,106.3506679389313,939498,771921,5006,82.16,128.69017179384738,418207,274068,30403,65.53,23.09466171101536,5991225,3474326,80620,57.99,68.02646985859589,524856,400888,3223,76.38,104.62053986968662,7440414,5036957,47193,67.7,92.58286186510712
1,2003-02,1185825,782864,11151,66.02,76.8055779750695,7019,4330,105,61.69,91.33333333333333,8476555,5861473,56960,69.15,91.72148876404495,7127819,4985764,51166,69.95,114.73638744478755,434460,265225,30655,61.05,25.673006034904585,389053,251826,20443,64.73,31.175169984835886,478784,273204,4303,57.06,56.816639553799675,492364,339979,3917,69.05,107.84860862905285,925097,707301,4720,76.46,126.98305084745763,395993,272205,28475,68.74,24.73352063213345,5382904,3363428,72108,62.48,74.29691573750485,479216,362505,2910,75.65,106.63883161512028,6610564,4652618,41776,70.38,98.2129691689008
2,2003-03,1351122,931817,12551,68.97,79.7012987012987,12958,9281,148,71.62,102.26351351351352,9782676,7095490,65168,72.53,96.7909403388166,8052021,5926067,57904,73.6,120.23958621166068,504675,320148,35494,63.44,26.77925846621964,443256,302910,23113,68.34,32.85592523687968,511872,337016,4574,65.84,80.473764757324,549996,408706,4471,74.31,106.89443077611273,1086106,893436,5685,82.26,131.7132805628848,449167,322771,31530,71.86,25.88547415160165,6027126,4059191,80362,67.35,78.74214180831737,540939,406616,3347,75.17,107.58380639378548,7449105,5579275,46287,74.9,104.64104392161946
3,2003-04,1357907,923120,12510,67.98,79.23725019984013,12803,8324,144,65.02,100.48611111111111,9336457,6764567,62117,72.45,95.07828774731556,7380656,5269285,51740,71.39,118.78262466177038,491484,318538,33871,64.81,27.5478432877683,467183,311067,23532,66.58,31.816632670406257,544189,329337,4831,60.52,74.33492030635479,543433,430766,4027,79.27,107.31437794884529,1067396,897286,5601,84.06,132.87341546152473,432180,293072,30414,67.81,25.02696126783718,5909157,3935024,78676,66.59,77.95604758757436,534159,392490,3299,73.48,107.28129736283722,6922462,5291172,42749,76.43,106.11696180027603
4,2003-05,1495658,1026466,13508,68.63,80.22867930115487,13564,9162,147,67.55,104.5578231292517,9432542,7055380,62611,74.8,99.29769529315935,7302481,5455220,52123,74.7,121.45459777833202,513991,345533,34649,67.23,28.55259892060377,476266,332134,22944,69.74,34.49202405857741,538189,347407,4789,64.55,81.40050114846524,554340,412165,4072,74.35,105.50540275049116,1091219,926853,5260,84.94,136.5365019011407,449892,327226,30837,72.73,27.430294775756398,6050221,4189524,79998,69.25,81.72343058576465,423787,326196,2590,76.97,115.04633204633204,6956968,5457101,43390,78.44,108.30401014058539
5,2003-06,1644544,1193666,14557,72.58,85.63048705090334,17005,13309,164,78.27,128.890243902439,9477009,7547830,62115,79.64,105.41714561700073,7415623,6001880,53524,80.94,127.40161422913086,519248,362435,34453,69.8,30.031347052506312,466182,335280,21947,71.92,36.13760422836834,546671,410939,4786,75.17,94.78938570831592,593308,487302,4130,82.13,113.31670702179177,1114316,968971,5272,86.96,138.71832321699546,455097,348091,31831,76.49,28.649806792120888,5937934,4427485,78862,74.56,85.9165631102432,439111,344492,2666,78.45,115.90847711927982,7309463,5965333,44730,81.61,112.63532304940756
6,2003-07,1770009,1317996,15488,74.46,88.88113378099173,31963,23946,249,74.92,119.06425702811245,10028508,8192931,64980,81.7,107.83528778085565,7680255,6428528,55080,83.7,130.480464778504,420293,293451,31151,69.82,34.381624987961864,473909,344664,21586,72.73,36.99555267302882,571308,456048,5055,79.83,100.8108803165183,625888,554667,4472,88.62,117.46869409660107,1269658,1150449,5841,90.61,145.95257661359355,492951,375689,33485,76.21,28.96320740630133,6127338,4750318,81282,77.53,87.74894810659187,514566,422904,3082,82.19,122.98572355613238,7900956,6463890,47409,81.81,113.90267670695438
7,2003-08,1755604,1330507,15432,75.79,90.32652928978746,38674,27738,299,71.72,113.90635451505017,9937121,7923807,64236,79.74,104.24157793137805,7824917,6340679,55822,81.03,125.34681666726381,542445,372862,35147,68.74,29.731299968702878,474393,321535,21154,67.78,34.90001890895339,573395,455077,5021,79.37,99.85560645289783,643482,570438,4620,88.65,118.7517316017316,1279686,1167884,5837,91.26,147.27085831762892,512857,384398,34413,74.95,28.482404905123065,6119325,4480716,80940,73.22,84.42700765999506,509600,417130,3055,81.85,123.58952536824877,7764395,6286155,46975,80.96,111.19646620542842
8,2003-09,1500287,965620,13419,64.36,76.96586928981296,36648,23493,279,64.1,100.96415770609319,9166289,6015739,60134,65.63,87.60634582765158,7600587,5021464,53629,66.07,106.81284379719928,534252,331074,34376,61.97,27.160111705841285,484391,298079,21421,61.54,32.26735446524439,547585,379807,4864,69.36,88.5032894736842,548139,451191,3911,82.31,108.74482229608796,1160706,929410,5497,80.07,125.03438239039475,507946,357185,33663,70.32,26.993613165790332,5960957,3602650,78702,60.44,72.96179258468653,388903,317099,2369,81.54,119.06458421274799,6948478,4918784,43644,70.79,97.74305746494363
9,2003-10,1496292,972495,13450,64.99,77.74951672862454,38841,27825,301,71.64,106.79734219269103,9620031,6823007,62989,70.93,95.25383797170934,7992370,5804640,56374,72.63,118.09924788022848,570466,374720,36171,65.69,28.919521163362916,517256,346033,22812,66.9,35.14413466596528,574122,416938,5119,72.62,92.2064856417269,559137,475486,4046,85.04,113.81166584280771,1223762,1044403,5846,85.34,132.9462880602121,529839,394731,34577,74.5,28.61237238626833,6238401,3968193,81970,63.61,76.54166158350615,419217,351866,2600,83.93,131.31076923076924,7267791,5393564,45746,74.21,102.48050102741223
10,2003-11,1394690,970964,12581,69.62,82.8233844686432,39438,25225,293,63.96,102.82935153583618,9006214,6345182,56146,70.45,96.97789691162326,7759608,5473482,54121,70.54,114.97466787383826,553174,369885,34211,66.87,29.649440238519773,499369,329207,21853,65.92,34.4375143000961,550594,397649,4974,72.22,88.2599517490953,566470,480730,3938,84.86,117.397155916709,1207291,983843,5894,81.49,128.94791313199863,512551,370553,34076,72.3,27.777497358844936,5904969,3762069,76596,63.71,78.42295942346858,463634,383702,2955,82.76,120.0497461928934,6987275,5039800,43582,72.13,100.76455876279198
11,2003-12,1479187,1075841,13257,72.73,85.5187448140605,37915,25681,298,67.73,103.18456375838926,9512148,6932879,59292,72.88,99.38473993118802,7971250,5894158,55768,73.94,116.45199756132548,589802,387716,36455,65.74,29.056864627623096,517142,346475,22497,67.0,34.54122771925145,628707,462721,5386,73.6,93.30375046416636,608454,513382,4117,84.37,116.53947048821958,1324234,1077871,6461,81.4,127.99504720631481,528542,388912,35324,73.58,28.143585097950403,6154327,3935309,79822,63.94,76.59616396482173,558211,450489,3526,80.7,113.37861599546228,7406953,5592229,45727,75.5,103.70651912436854
12,2004-01,1364530,907103,12314,66.48,76.66095501055709,32406,22634,253,69.85,107.66798418972331,9549791,6463552,58732,67.68,93.20343254103385,7911945,5289995,55623,66.86,104.47555867177246,588694,346343,35891,58.83,26.082444066757684,508506,294599,22293,57.93,30.366886466603866,611765,405401,5308,66.27,83.66541070082894,571821,461081,4070,80.63,111.97149877149877,1388096,1078559,6760,77.7,122.19497041420118,536473,358347,35495,66.8,25.286350190167628,6148886,3456658,79508,56.22,67.38944508728682,538930,424289,3468,78.73,109.92877739331027,7329291,4958768,44862,67.66,92.63465739378539
13,2004-02,1369645,917606,12259,67.0,78.83644669222612,36784,28553,278,77.62,122.16546762589928,9250803,6458121,55969,69.81,98.15680108631564,7535675,5257576,53479,69.77,111.16948708838983,580882,375326,34931,64.61,28.811313732787497,482183,299888,20877,62.19,32.8565885903147,568787,380325,5001,66.87,83.7620475904819,526266,438673,3794,83.36,116.51133368476542,1352910,1052612,6719,77.8,123.66364042268195,507882,361856,33772,71.25,27.18820324529196,5883000,3660185,76342,62.22,75.27425270493306,511689,388856,3311,75.99,107.92328601630928,6956269,4943338,42416,71.06,98.9589541682384
14,2004-03,1533454,1114090,13481,72.65,85.93079148431126,49959,39384,355,78.83,124.04225352112677,10064912,7596733,60276,75.48,106.59458159134647,8324290,6270417,58574,75.33,118.47008911803871,636771,436672,38186,68.58,30.552689467344052,531704,359991,23033,67.71,35.29683497590414,646270,487783,5590,75.48,93.34561717352415,605902,508465,4115,83.92,120.80534629404617,1485763,1238531,7366,83.36,132.481672549552,549239,407915,36027,74.27,28.16992810947345,6353296,4676795,82634,73.61,85.74941307452139,550093,433005,3594,78.71,112.41764051196438,7640669,5922975,46260,77.52,108.72827496757458
