,opcarrier,origin,dest,origin_lat,origin_lng,dest_lat,dest_lng
0,DL,SLC,ATL,40.78838778,-111.9777731,33.64044444,-84.42694444
1,DL,DTW,SFO,42.21205889,-83.34883583,37.61900194,-122.3748433
2,DL,MSP,SLC,44.88054694,-93.2169225,40.78838778,-111.9777731
3,AA,CLT,BWI,35.21401111,-80.94312583,39.17540167,-76.66819833
4,DL,ATL,SFO,33.64044444,-84.42694444,37.61900194,-122.3748433
5,DL,DTW,EWR,42.21205889,-83.34883583,40.69249722,-74.16866056
6,DL,DFW,SLC,32.89595056,-97.0372,40.78838778,-111.9777731
7,AA,LAS,LAX,36.08036111,-115.1523333,33.94253611,-118.4080744
8,DL,DTW,SLC,42.21205889,-83.34883583,40.78838778,-111.9777731
9,DL,LAX,SFO,33.94253611,-118.4080744,37.61900194,-122.3748433
10,AS,SEA,DCA,47.44898194,-122.3093131,38.85208333,-77.03772222
11,DL,DCA,SLC,38.85208333,-77.03772222,40.78838778,-111.9777731
12,AA,DFW,CLT,32.89595056,-97.0372,35.21401111,-80.94312583
13,DL,JFK,FLL,40.63975111,-73.77892556,26.07258333,-80.15275
14,DL,ATL,MIA,33.64044444,-84.42694444,25.79325,-80.29055556
15,OO,SAN,LAX,32.73355611,-117.1896567,33.94253611,-118.4080744
16,UA,DEN,IAH,39.85840806,-104.6670019,29.98047222,-95.33972222
17,UA,LAX,IAD,33.94253611,-118.4080744,38.94453194,-77.45580972
18,DL,TPA,DTW,27.97547222,-82.53325,42.21205889,-83.34883583
19,AA,PHX,SFO,33.43416667,-112.0080556,37.61900194,-122.3748433
20,DL,MSP,CLT,44.88054694,-93.2169225,35.21401111,-80.94312583
21,DL,ATL,DCA,33.64044444,-84.42694444,38.85208333,-77.03772222
22,AA,ORD,SFO,41.979595,-87.90446417,37.61900194,-122.3748433
23,AA,DFW,LAX,32.89595056,-97.0372,33.94253611,-118.4080744
24,AA,DFW,SLC,32.89595056,-97.0372,40.78838778,-111.9777731
25,AA,IAH,DFW,29.98047222,-95.33972222,32.89595056,-97.0372
26,UA,FLL,ORD,26.07258333,-80.15275,41.979595,-87.90446417
27,AA,CLT,MIA,35.21401111,-80.94312583,25.79325,-80.29055556
28,AA,DEN,CLT,39.85840806,-104.6670019,35.21401111,-80.94312583
29,DL,PDX,SEA,45.58872222,-122.5975,47.44898194,-122.3093131
30,DL,LAX,SEA,33.94253611,-118.4080744,47.44898194,-122.3093131
31,UA,MSP,DEN,44.88054694,-93.2169225,39.85840806,-104.6670019
32,DL,PDX,LAX,45.58872222,-122.5975,33.94253611,-118.4080744
33,DL,DTW,DCA,42.21205889,-83.34883583,38.85208333,-77.03772222
34,UA,EWR,SFO,40.69249722,-74.16866056,37.61900194,-122.3748433
35,DL,SLC,PHX,40.78838778,-111.9777731,33.43416667,-112.0080556
36,AA,CLT,JFK,35.21401111,-80.94312583,40.63975111,-73.77892556
37,UA,DEN,LAS,39.85840806,-104.6670019,36.08036111,-115.1523333
38,DL,MSP,LAX,44.88054694,-93.2169225,33.94253611,-118.4080744
39,UA,SAN,ORD,32.73355611,-117.1896567,41.979595,-87.90446417
40,AA,CLT,EWR,35.21401111,-80.94312583,40.69249722,-74.16866056
41,UA,IAD,SFO,38.94453194,-77.45580972,37.61900194,-122.3748433
42,DL,LAX,DTW,33.94253611,-118.4080744,42.21205889,-83.34883583
43,DL,LAS,SLC,36.08036111,-115.1523333,40.78838778,-111.9777731
44,DL,BOS,SEA,42.3643475,-71.00517917,47.44898194,-122.3093131
